,estu_tipodocumento,cole_area_ubicacion,cole_bilingue,cole_caracter,cole_depto_ubicacion,Region,cole_genero,cole_jornada,cole_naturaleza,estu_fechanacimiento,estu_genero,fami_cuartoshogar,fami_educacionmadre,fami_educacionpadre,fami_estratovivienda,fami_personashogar,fami_tieneautomovil,fami_tienecomputador,fami_tieneinternet,fami_tienelavadora,desemp_ingles
0,TI,RURAL,N,TECNICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2005 y 2006,F,Cuatro,Secundaria (Bachillerato) completa,Primaria incompleta,Estrato 2,5 a 6,Si,No,No,Si,A-
1,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,>2006,F,Dos,Primaria completa,Primaria incompleta,Estrato 2,3 a 4,No,No,Si,Si,A-
2,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,NO OFICIAL,>2006,M,Cinco,Educacion profesional completa,No sabe,Estrato 4,3 a 4,Si,Si,Si,Si,A2
3,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,TARDE,OFICIAL,2000-2005,F,Tres,Tecnica o tecnologica completa,Secundaria (Bachillerato) completa,Estrato 2,3 a 4,No,Si,Si,Si,A2
4,CC,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,MANANA,OFICIAL,2000-2005,F,Dos,Primaria incompleta,Secundaria (Bachillerato) incompleta,Sin Estrato,3 a 4,Si,Si,Si,No,A1
5,CC,URBANO,N,ACADEMICO,Region Caribe,Region Caribe,MIXTO,MANANA,OFICIAL,2000-2005,F,Cuatro,No sabe,Secundaria (Bachillerato) incompleta,Estrato 2,5 a 6,No,No,No,No,A-
6,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,UNICA,OFICIAL,2000-2005,F,Dos,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 3,3 a 4,No,Si,Si,Si,A-
7,Otros,RURAL,N,TECNICO,Region Caribe,Region Caribe,MIXTO,MANANA,OFICIAL,2005 y 2006,M,Tres,Ninguno,Ninguno,Sin Estrato,5 a 6,No,No,Si,No,A-
8,TI,URBANO,N,TECNICO/ACADEMICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2000-2005,M,Tres,Tecnica o tecnologica completa,Educacion profesional completa,Estrato 4,7 a 8,Si,Si,Si,Si,A1
9,Otros,RURAL,N,TECNICO/ACADEMICO,Region Caribe,Region Caribe,MIXTO,MANANA,OFICIAL,>2006,F,Dos,Primaria incompleta,Primaria incompleta,Estrato 4,1 a 2,Si,No,Si,Si,A-
10,TI,URBANO,N,ACADEMICO,Region Andina,Region Andina,MIXTO,UNICA,OFICIAL,2005 y 2006,M,Dos,Tecnica o tecnologica completa,Educacion profesional completa,Sin Estrato,5 a 6,No,Si,No,Si,A-
11,TI,URBANO,N,TECNICO/ACADEMICO,Region Andina,Region Andina,MIXTO,UNICA,OFICIAL,2005 y 2006,M,Tres,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) completa,Estrato 3,5 a 6,Si,Si,Si,Si,A2
12,TI,URBANO,N,TECNICO,Region Orinoquia,Region Orinoquia,MIXTO,MANANA,OFICIAL,2000-2005,M,Tres,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,Estrato 1,5 a 6,No,Si,Si,Si,A-
13,TI,RURAL,N,ACADEMICO,Region Andina,Region Andina,MASCULINO,COMPLETA,NO OFICIAL,2005 y 2006,M,Cuatro,Educacion profesional completa,Postgrado,Estrato 4,5 a 6,Si,Si,Si,Si,B1
14,TI,URBANO,N,ACADEMICO,Region Caribe,Region Caribe,MIXTO,UNICA,OFICIAL,2005 y 2006,M,Dos,Secundaria (Bachillerato) incompleta,Secundaria (Bachillerato) incompleta,Estrato 1,5 a 6,No,No,Si,Si,A1
