cole_depto_ubicacion;periodo;average_column;Anio;Prueba
CAUCA;20172;236.038085;2017;2
NORTE SANTANDER;20142;251.5431001;2014;2
SAN ANDRES;20142;246.4018838;2014;2
PUTUMAYO;20142;240.662847;2014;2
BOLIVAR;20171;350.6744186;2017;1
ATLANTICO;20181;325.5619597;2018;1
GUAINIA;20142;236.745098;2014;2
GUAINIA;20194;223.0037313;2019;4
LA GUAJIRA;20181;310.9272727;2018;1
QUINDIO;20191;348.4571429;2019;1
CHOCO;20142;218.8674262;2014;2
SUCRE;20152;236.9829866;2015;2
CESAR;20152;239.6194073;2015;2
ARAUCA;20142;247.9607003;2014;2
CHOCO;20181;199.5;2018;1
CORDOBA;20162;248.6007662;2016;2
RISARALDA;20152;254.592471;2015;2
CUNDINAMARCA;20201;290.2525919;2020;1
SAN ANDRES;20172;252.5753205;2017;2
HUILA;20201;223.7761194;2020;1
CHOCO;20194;200.7308166;2019;4
CALDAS;20181;293.3663968;2018;1
AMAZONAS;20194;212.9611179;2019;4
BOLIVAR;20191;359.5421053;2019;1
HUILA;20152;251.0483558;2015;2
VALLE;20171;294.1035938;2017;1
CUNDINAMARCA;20172;262.5734066;2017;2
BOYACA;20152;261.4631152;2015;2
BOYACA;20181;238.7816092;2018;1
QUINDIO;20181;329.5;2018;1
SANTANDER;20181;291.7431373;2018;1
ANTIOQUIA;20211;309.0331754;2021;1
SUCRE;20224;236.5661876;2022;4
LA GUAJIRA;20211;311.8958333;2021;1
CASANARE;20181;216.1555556;2018;1
ANTIOQUIA;20194;242.0211314;2019;4
RISARALDA;20162;262.2718929;2016;2
BOLIVAR;20181;299.9088146;2018;1
ATLANTICO;20201;317.7570922;2020;1
VALLE;20142;243.8632088;2014;2
SANTANDER;20194;263.6113549;2019;4
CALDAS;20152;249.8064605;2015;2
GUAINIA;20162;248.7305936;2016;2
ANTIOQUIA;20224;245.895901;2022;4
CORDOBA;20172;245.9583185;2017;2
ANTIOQUIA;20142;249.1465258;2014;2
META;20142;252.5260659;2014;2
QUINDIO;20172;256.3039216;2017;2
QUINDIO;20201;352.5789474;2020;1
BOYACA;20201;250.8723404;2020;1
CALDAS;20224;253.1435763;2022;4
QUINDIO;20224;260.771176;2022;4
CORDOBA;20211;288.5135135;2021;1
BOGOTÃ;20201;296.8479224;2020;1
VALLE;20162;252.6750168;2016;2
BOGOTA;20161;366.8640216;2016;1
SAN ANDRES;20152;239.3737518;2015;2
TOLIMA;20151;220.6772334;2015;1
GUAVIARE;20181;242.5;2018;1
NORTE SANTANDER;20194;255.0864391;2019;4
CORDOBA;20142;238.5776892;2014;2
BOYACA;20172;268.7779753;2017;2
MAGDALENA;20172;231.078114;2017;2
CAQUETA;20162;244.6191352;2016;2
HUILA;20172;252.8376995;2017;2
NARIÃ‘O;20211;283.1826401;2021;1
CESAR;20191;342.9565217;2019;1
CORDOBA;20151;245.7788462;2015;1
CASANARE;20224;253.6290468;2022;4
CALDAS;20171;335.5935829;2017;1
VALLE;20161;301.421624;2016;1
BOLIVAR;20151;277.7890173;2015;1
MAGDALENA;20161;333.9333333;2016;1
BOGOTÃ;20224;270.0668484;2022;4
ARAUCA;20151;212.5384615;2015;1
PUTUMAYO;20151;215.6103896;2015;1
GUAINIA;20211;178.9545455;2021;1
BOGOTA;20162;277.001599;2016;2
META;20194;248.0323173;2019;4
BOGOTÃ;20211;324.3789506;2021;1
CAQUETA;20201;181.5;2020;1
GUAINIA;20224;224.1645244;2022;4
GUAVIARE;20211;268.5;2021;1
PUTUMAYO;20152;240.1707545;2015;2
NORTE SANTANDER;20162;263.9814989;2016;2
CESAR;20181;277.9828571;2018;1
BOLIVAR;20211;332.8717949;2021;1
META;20211;224.8571429;2021;1
PUTUMAYO;20201;220.9090909;2020;1
TOLIMA;20152;245.0347092;2015;2
LA GUAJIRA;20142;230.8900463;2014;2
CAUCA;20211;289.6806723;2021;1
GUAINIA;20181;212.9411765;2018;1
META;20162;262.0910095;2016;2
NARIÃ‘O;20194;244.4224296;2019;4
NORTE SANTANDER;20172;261.2476983;2017;2
CUNDINAMARCA;20171;335.3135135;2017;1
RISARALDA;20171;340.6134454;2017;1
ARAUCA;20224;241.4689385;2022;4
GUAVIARE;20162;241.4692049;2016;2
CALDAS;20142;248.4654276;2014;2
VALLE;20194;242.7088791;2019;4
