ID;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_depto_ubicacion;cole_genero;cole_jornada;cole_naturaleza;estu_genero;estu_nacionalidad;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_personashogar;fami_tieneautomovil;fami_tienecomputador;fami_tieneinternet;fami_tienelavadora;desemp_ingles;Respuesta
1;TI;URBANO;S;Region Pacifica;MIXTO;MANANA;NO OFICIAL;M;COLOMBIA;Tres;Educacion profesional completa;Tecnica o tecnologica incompleta;Estrato 3;3 a 4;Si;No;Si;Si;B1;punt_sociales_ciudadanas
2;TI;URBANO;N;Region Pacifica;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Cinco;Educacion profesional completa;Secundaria (Bachillerato) completa;Estrato 2;7 a 8;Si;Si;Si;Si;A-;punt_c_naturales
3;TI;URBANO;N;;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Cuatro;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 2;5 a 6;Si;Si;Si;Si;A-;punt_c_naturales
4;CC;URBANO;N;Region Andina;MIXTO;SABATINA;OFICIAL;F;COLOMBIA;Uno;Primaria incompleta;Primaria completa;Estrato 1;3 a 4;No;No;No;No;A-;punt_c_naturales
5;TI;RURAL;N;Region Pacifica;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Primaria incompleta;Ninguno;Estrato 1;7 a 8;No;No;No;Si;A-;punt_sociales_ciudadanas
6;TI;URBANO;N;Region Pacifica;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Tres;Primaria incompleta;Primaria incompleta;Estrato 1;5 a 6;No;No;Si;Si;A-;punt_ingles
7;TI;URBANO;N;;FEMENINO;COMPLETA;NO OFICIAL;F;COLOMBIA;Tres;Educacion profesional completa;Secundaria (Bachillerato) incompleta;Estrato 2;3 a 4;No;Si;Si;Si;A1;punt_sociales_ciudadanas
8;TI;URBANO;N;Region Caribe;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Tecnica o tecnologica completa;Educacion profesional completa;Estrato 2;5 a 6;No;Si;Si;Si;A2;punt_matematicas
9;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Tecnica o tecnologica completa;Estrato 3;3 a 4;No;No;Si;Si;A2;punt_c_naturales
10;TI;URBANO;N;;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Dos;Educacion profesional completa;Secundaria (Bachillerato) completa;Estrato 2;5 a 6;Si;Si;Si;Si;B1;punt_c_naturales
11;TI;URBANO;;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Tres;Primaria completa;Secundaria (Bachillerato) completa;Estrato 1;5 a 6;No;Si;Si;Si;A-;punt_ingles
12;TI;URBANO;N;Region Pacifica;MIXTO;TARDE;OFICIAL;M;COLOMBIA;Dos;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 2;3 a 4;No;Si;Si;No;A1;punt_sociales_ciudadanas
13;TI;URBANO;;Region Andina;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Dos;Tecnica o tecnologica completa;Secundaria (Bachillerato) completa;Estrato 2;1 a 2;No;Si;Si;No;A1;punt_ingles
14;TI;URBANO;N;;MIXTO;COMPLETA;NO OFICIAL;M;COLOMBIA;;;;;;;;;;A2;punt_c_naturales
15;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;;Primaria incompleta;Primaria incompleta;Estrato 1;;;;Si;;A2;punt_lectura_critica
16;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;;Primaria incompleta;Secundaria (Bachillerato) completa;Estrato 2;5 a 6;No;No;Si;Si;A1;punt_ingles
17;TI;URBANO;N;;MIXTO;MANANA;OFICIAL;M;COLOMBIA;Seis o mas;Secundaria (Bachillerato) completa;;Estrato 2;7 a 8;No;Si;Si;Si;A1;punt_ingles
18;TI;URBANO;N;Region Pacifica;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Cuatro;Postgrado;Educacion profesional completa;Estrato 1;5 a 6;No;Si;Si;Si;A-;punt_c_naturales
19;TI;URBANO;N;Region Andina;MIXTO;COMPLETA;NO OFICIAL;F;VENEZUELA;Tres;Tecnica o tecnologica completa;Educacion profesional completa;Sin Estrato;3 a 4;Si;Si;Si;Si;B1;punt_sociales_ciudadanas
20;TI;URBANO;N;Region Andina;MIXTO;TARDE;OFICIAL;F;COLOMBIA;Dos;Secundaria (Bachillerato) completa;Tecnica o tecnologica completa;Estrato 3;3 a 4;No;Si;Si;No;A-;punt_c_naturales
21;TI;RURAL;;Region Caribe;MIXTO;UNICA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) incompleta;Primaria completa;Estrato 1;5 a 6;No;No;No;Si;A-;punt_ingles
22;TI;RURAL;;Region Pacifica;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Tres;Secundaria (Bachillerato) completa;Primaria incompleta;Estrato 1;3 a 4;No;No;No;No;A-;punt_matematicas
23;TI;URBANO;N;Region Andina;MIXTO;MANANA;OFICIAL;F;COLOMBIA;Dos;Primaria completa;Primaria completa;Estrato 2;5 a 6;No;No;No;No;A1;punt_matematicas
24;TI;URBANO;N;Region Pacifica;MIXTO;UNICA;OFICIAL;M;COLOMBIA;Cinco;Primaria incompleta;Primaria incompleta;Estrato 1;7 a 8;No;Si;Si;Si;A2;punt_ingles
25;CC;URBANO;N;Region Andina;MIXTO;SABATINA;OFICIAL;F;COLOMBIA;Dos;;;;5 a 6;No;No;;Si;A-;punt_sociales_ciudadanas
26;Otros;URBANO;S;;MIXTO;SABATINA;NO OFICIAL;F;VENEZUELA;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) incompleta;Estrato 2;1 a 2;No;Si;Si;Si;A-;punt_c_naturales
